time,map,kRYST4LOL,Sask,Xiri,猪猪人,zzz,Flora,NiNN1,duan,corn,酸奶,HAOZi,yuzhe,小枣,Savoki,xxp,xiyang,节奏,嘿嘿,蓝七,海豹秃鸡队,爱吃西瓜的XYU,坤尔摩斯,胜方
12/14/2024 19:40:00,古代沙漠,鸽子,,,警长,爆炸王,,模仿者,专业杀手,专业杀手,正义使者,生存主义者,,说客,,呆呆鸟,冒险家,,刺客,鹈鹕,,,,鸽子
12/14/2024 19:49:00,古代沙漠,正义使者,,,模仿者,鸽子,,生存主义者,观鸟者,警长,爆炸王,鹈鹕,说客,加拿大鹅,,派对狂,呆呆鸟,,刺客,冒险家,,,,呆呆鸟
12/14/2024 19:57:00,古代沙漠,秃鹫,,,刺客,冒险家,,生存主义者,猎鹰,鸽子,肉汁,忍者,说客,爆炸王,,模仿者,警长,,正义使者,加拿大鹅,呆呆鸟,,,鸭子
12/14/2024 20:13:00,鹅教堂,正义使者,,,刺客,加拿大鹅,,间谍,爆炸王,鹈鹕,警长,鸽子,工程师,侦探,,呆呆鸟,跟踪者,,模仿者,呆呆鸟,说客,,,鸽子
12/14/2024 20:24:00,鹅教堂,鸽子,,,警长,加拿大鹅,,爆炸王,正义使者,呆呆鸟,说客,,间谍,呆呆鸟,,殡仪员,模仿者,,刺客,鹈鹕,通灵者,,,鸭子
12/14/2024 20:37:00,鹅教堂,刺客,,,正义使者,加拿大鹅,,猎鹰,鸽子,秃鹫,侦探,呆呆鸟,警长,爆炸王,,间谍,说客,,观鸟者,模仿者,工程师,,,鹅
12/14/2024 21:05:00,鹅教堂,刺客,,,警长,猎鹰,,鸽子,加拿大鹅,人狼恋,模仿者,工程师,正义使者,殡仪员,,爆炸王,说客,,呆呆鸟,秃鹫,人狼恋,,,鸭子
12/14/2024 21:23:00,鹅教堂,通灵者,,,猎鹰,鸽子,,加拿大鹅,呆呆鸟,爆炸王,说客,正义使者,人狼恋,生存主义者,,秃鹫,模仿者,警长,工程师,人狼恋,刺客,,,鹅
12/14/2024 21:39:00,鹅教堂,工程师,,,鸭子,刺客,,模仿者,加拿大鹅,说客,鸽子,人人恋,正义使者,秃鹫,,爆炸王,人人恋,警长,猎鹰,呆呆鸟,殡仪员,,,鸭子
12/14/2024 21:56:00,鹅教堂,工程师,,,刺客,殡仪员,,爆炸王,模仿者,连环杀手,猎鹰,警长,加拿大鹅,鸽子,,说客,正义使者,人人恋,呆呆鸟,人人恋,秃鹫,,,鸽子
12/14/2024 22:13:00,鹅教堂,刺客,,,工程师,爆炸王,,猎鹰,殡仪员,模仿者,秃鹫,呆呆鸟,正义使者,专业杀手,,鸽子,说客,加拿大鹅,警长,人人恋,人人恋,,,鸭子
12/14/2024 22:23:00,鹅教堂,加拿大鹅,,,警长,刺客,,,专业杀手,爆炸王,人人恋,秃鹫,正义使者,模仿者,,鸽子,猎鹰,说客,呆呆鸟,工程师,人人恋,,,呆呆鸟
12/14/2024 22:32:00,鹅教堂,加拿大鹅,,,工程师,说客,,,猎鹰,鸽子,模仿者,秃鹫,呆呆鸟,刺客,,爆炸王,正义使者,警长,侦探,人狼恋,人狼恋,,,鸽子
12/14/2024 22:40:00,鹅教堂,秃鹫,,,政治家,猎鹰,,人狼恋,人狼恋,说客,呆呆鸟,警长,刺客,爆炸王,,生存主义者,加拿大鹅,模仿者,正义使者,鸽子,工程师,,,猎鹰
12/14/2024 23:02:00,鹅教堂,说客,,,鸽子,猎鹰,,工程师,政治家,爆炸王,人人恋,模仿者,刺客,呆呆鸟,,秃鹫,警长,加拿大鹅,正义使者,人人恋,派对狂,,,鹅
12/14/2024 23:21:00,鹅教堂,人人恋,,,说客,刺客,,鸽子,秃鹫,正义使者,爆炸王,猎鹰,呆呆鸟,派对狂,,模仿者,星界行者,加拿大鹅,人人恋,警长,工程师,,,猎鹰
12/14/2024 23:44:00,鹅教堂,模仿者,,,肉汁,鸽子,,观鸟者,人狼恋,爆炸王,正义使者,加拿大鹅,说客,工程师,,猎鹰,人狼恋,刺客,秃鹫,警长,呆呆鸟,,,鹅
12/15/2024 0:01:00,鹅教堂,模仿者,,,刺客,警长,,说客,加拿大鹅,鹈鹕,工程师,派对狂,爆炸王,,,人人恋,鸽子,人人恋,,呆呆鸟,正义使者,,,鸭子
12/15/2024 0:14:00,鹅教堂,告密者,,,鹈鹕,人人恋,,加拿大鹅,工程师,警长,正义使者,刺客,呆呆鸟,,,说客,人人恋,模仿者,,爆炸王,鸽子,,,呆呆鸟
12/15/2024 0:26:00,鹅教堂,正义使者,,,鹈鹕,侦探,,鸽子,加拿大鹅,警长,人狼恋,呆呆鸟,模仿者,,,工程师,人狼恋,爆炸王,,刺客,说客,,,鹅
12/15/2024 0:41:00,鹅教堂,加拿大鹅,,,人人恋,警长,,呆呆鸟,工程师,间谍,鹈鹕,正义使者,模仿者,,,爆炸王,刺客,鸽子,,人人恋,说客,,,鹈鹕
12/15/2024 1:02:00,鹅教堂,爆炸王,,,人狼恋,警长,,说客,肉汁,正义使者,鹈鹕,鸽子,呆呆鸟,,,工程师,人狼恋,模仿者,,加拿大鹅,刺客,,,鸭子
12/15/2024 1:19:00,鹅教堂,正义使者,,,猎鹰,呆呆鸟,,警长,刺客,鸽子,秃鹫,人人恋,模仿者,,,连环杀手,加拿大鹅,人人恋,,爆炸王,工程师,说客,,鸭子
12/15/2024 1:38:00,鹅教堂,派对狂,,,呆呆鸟,工程师,,星界行者,警长,刺客,加拿大鹅,人人恋,正义使者,,,模仿者,鸽子,秃鹫,,说客,猎鹰,人人恋,爆炸王,秃鹫
12/15/2024 1:41:00,鹅教堂,秃鹫,,,殡仪员,人人恋,,警长,说客,模仿者,正义使者,加拿大鹅,静语者,,,鸽子,猎鹰,呆呆鸟,,刺客,爆炸王,人人恋,工程师,鸽子
12/15/2024 20:09:00,古代沙漠,加拿大鹅,呆呆鸟,模仿者,鸽子,复仇者,爆炸王,生存主义者,说客,警长,忍者,刺客,冒险家,正义使者,鹈鹕,,,,,,,,,鹅
12/15/2024 20:32:00,鹅教堂,呆呆鸟,刺客,加拿大鹅,警长,猎鹰,殡仪员,工程师,模仿者,鸽子,爆炸王,正义使者,星界行者,秃鹫,派对狂,,说客,,,,观鸟者,,,鸽子
12/15/2024 20:44:00,鹅教堂,秃鹫,加拿大鹅,工程师,正义使者,警长,爆炸王,连环杀手,说客,猎鹰,呆呆鸟,生存主义者,,复仇者,加拿大鹅,通灵者,模仿者,,,,鸽子,,,鸭子
12/15/2024 20:57:00,鹅教堂,鸽子,政治家,殡仪员,说客,告密者,秃鹫,爆炸王,刺客,工程师,猎鹰,警长,,正义使者,加拿大鹅,通灵者,模仿者,,,,呆呆鸟,,,呆呆鸟
12/15/2024 21:12:00,鹅教堂,刺客,鸽子,爆炸王,正义使者,模仿者,工程师,殡仪员,加拿大鹅,星界行者,秃鹫,猎鹰,呆呆鸟,,复仇者,间谍,说客,,,,警长,,,呆呆鸟
12/15/2024 21:27:00,鹅教堂,通灵者,呆呆鸟,鸽子,跟踪者,爆炸王,模仿者,秃鹫,工程师,加拿大鹅,说客,警长,刺客,,复仇者,猎鹰,正义使者,,,,专业杀手,,,鹅
12/15/2024 21:47:00,鹅教堂,警长,正义使者,说客,爆炸王,静语者,鸽子,猎鹰,呆呆鸟,秃鹫,模仿者,工程师,人人恋,,刺客,加拿大鹅,人人恋,,,,生存主义者,,,鹅
12/15/2024 22:03:00,,刺客,爆炸王,肉汁,秃鹫,加拿大鹅,鸽子,警长,正义使者,说客,工程师,人狼恋,呆呆鸟,,人狼恋,,猎鹰,,,,模仿者,,,鸽子
12/15/2024 22:11:00,,静语者,加拿大鹅,人人恋,说客,爆炸王,警长,刺客,鸽子,猎鹰,人人恋,模仿者,呆呆鸟,,正义使者,,秃鹫,,,,工程师,,,呆呆鸟
12/15/2024 22:19:00,,警长,人人恋,正义使者,鸽子,猎鹰,静语者,爆炸王,呆呆鸟,秃鹫,工程师,人人恋,说客,,加拿大鹅,,刺客,,,,模仿者,,,呆呆鸟
12/15/2024 22:28:00,,加拿大鹅,呆呆鸟,人狼恋,正义使者,警长,猎鹰,刺客,说客,秃鹫,爆炸王,人狼恋,跟踪者,,鸽子,,工程师,,,,模仿者,,,鸭子
12/15/2024 22:49:00,,工程师,鸽子,猎鹰,人人恋,爆炸王,间谍,加拿大鹅,跟踪者,秃鹫,说客,模仿者,正义使者,,人人恋,,刺客,,,,警长,,,鸽子
12/15/2024 22:57:00,,猎鹰,工程师,观鸟者,人人恋,模仿者,秃鹫,呆呆鸟,连环杀手,说客,人人恋,鸽子,正义使者,刺客,警长,,加拿大鹅,,,,爆炸王,,,呆呆鸟
12/15/2024 23:15:00,,警长,模仿者,正义使者,刺客,爆炸王,工程师,通灵者,猎鹰,加拿大鹅,说客,人狼恋,秃鹫,鸽子,侦探,,人狼恋,,,,呆呆鸟,,,鸽子
12/15/2024 23:26:00,,呆呆鸟,说客,,工程师,模仿者,人人恋,警长,专业杀手,鸽子,秃鹫,刺客,正义使者,加拿大鹅,爆炸王,,人人恋,,,,猎鹰,,,鹅
12/15/2024 23:44:00,,正义使者,猎鹰,,秃鹫,鸽子,警长,人人恋,工程师,说客,爆炸王,,加拿大鹅,间谍,人人恋,刺客,模仿者,,,,呆呆鸟,,,猎鹰
12/16/2024 0:01:00,,警长,刺客,,呆呆鸟,加拿大鹅,说客,鸽子,人狼恋,猎鹰,工程师,,生存主义者,正义使者,秃鹫,爆炸王,人狼恋, ,,,模仿者,,,呆呆鸟
12/16/2024 0:17:00,,人人恋,爆炸王,加拿大鹅,猎鹰,侦探,工程师,呆呆鸟,警长,专业杀手,秃鹫,,模仿者,鸽子,正义使者,说客,刺客,,,,人人恋,,,鸽子
12/16/2024 0:30:00,,爆炸王,派对狂,猎鹰,秃鹫,人人恋,刺客,呆呆鸟,人人恋,加拿大鹅,模仿者,,鸽子,说客,正义使者,工程师,警长,,,,复仇者,,,鸭子
12/16/2024 0:41:00,,说客,工程师,警长,人人恋,通灵者,模仿者,秃鹫,呆呆鸟,正义使者,连环杀手,,刺客,鸽子,爆炸王,加拿大鹅,人人恋,,,,猎鹰,,,鸽子
12/16/2024 0:53:00,,刺客,肉汁,模仿者,鸭子,秃鹫,警长,说客,人人恋,人人恋,工程师,,呆呆鸟,猎鹰,正义使者,鸽子,加拿大鹅,,,,爆炸王,,,鸭子
12/16/2024 1:13:00,,观鸟者,加拿大鹅,说客,人人恋,正义使者,鸽子,模仿者,人人恋,呆呆鸟,爆炸王,,秃鹫,猎鹰,工程师,间谍,刺客,,,,警长,,,鹅
12/16/2024 1:31:00,,说客,告密者,警长,人人恋,星界行者,工程师,秃鹫,正义使者,鸽子,人人恋,,刺客,呆呆鸟,加拿大鹅,猎鹰,爆炸王,,,,模仿者,,,鸽子
12/16/2024 1:46:00,,呆呆鸟,警长,,正义使者,人狼恋,爆炸王,猎鹰,加拿大鹅,鸽子,说客,,刺客,工程师,模仿者,秃鹫,,,,,人狼恋,,,鸽子
